Date,Open,High,Low,Close,Volume
2023-02-13,5246.0,5257.0,5212.0,5224.0,7001000
2023-02-14,5230.0,5339.0,5230.0,5328.0,5742800
2023-02-15,5370.0,5374.0,5305.0,5336.0,4432200
2023-02-16,5432.0,5499.0,5391.0,5498.0,6867300
2023-02-17,5488.0,5499.0,5425.0,5456.0,4440300
2023-02-20,5498.0,5498.0,5419.0,5464.0,4224100
2023-02-21,5470.0,5480.0,5412.0,5412.0,3638900
2023-02-22,5389.0,5391.0,5312.0,5312.0,4503200
2023-02-24,5291.0,5313.0,5252.0,5297.0,4381800
2023-02-27,5200.0,5238.0,5183.0,5198.0,4848800
2023-02-28,5145.0,5187.0,5124.0,5124.0,6918600
2023-03-01,5097.0,5126.0,5041.0,5122.0,6107900
2023-03-02,5058.0,5141.0,5053.0,5136.0,4997600
2023-03-03,5101.0,5165.0,5093.0,5158.0,4696500
2023-03-06,5180.0,5215.0,5170.0,5178.0,3255300
2023-03-07,5182.0,5206.0,5167.0,5177.0,3147900
2023-03-08,5130.0,5183.0,5121.0,5158.0,3768500
2023-03-09,5160.0,5236.0,5159.0,5227.0,4169600
2023-03-10,5152.0,5181.0,5136.0,5148.0,5040700
2023-03-13,5112.0,5131.0,5097.0,5129.0,3586700
2023-03-14,5091.0,5091.0,5028.0,5065.0,4934100
2023-03-15,5034.0,5109.0,5034.0,5082.0,4393600
2023-03-16,5010.0,5087.0,4996.0,5075.0,4511500
2023-03-17,5122.0,5148.0,5093.0,5144.0,4791900
2023-03-20,5143.0,5146.0,5030.0,5033.0,4651500
2023-03-22,5041.0,5091.0,5011.0,5080.0,4871800
2023-03-23,5080.0,5088.0,5037.0,5076.0,3157600
2023-03-24,5079.0,5079.0,5031.0,5058.0,3528800
2023-03-27,5099.0,5131.0,5087.0,5095.0,2570100
2023-03-28,5115.0,5136.0,5074.0,5083.0,3167800
2023-03-29,5087.0,5181.0,5051.0,5179.0,5495300
2023-03-30,5100.0,5122.0,5066.0,5079.0,3668500
2023-03-31,5098.0,5141.0,5082.0,5131.0,4148100
2023-04-03,5209.0,5218.0,5150.0,5173.0,4140400
2023-04-04,5210.0,5414.0,5194.0,5412.0,10423400
2023-04-05,5363.0,5367.0,5241.0,5245.0,6830300
2023-04-06,5235.0,5297.0,5230.0,5250.0,4175400
2023-04-07,5325.0,5326.0,5187.0,5198.0,4302700
2023-04-10,5291.0,5410.0,5271.0,5406.0,7136300
